Timestamp,Electric Demand (Student 010 > Electric Meter) [(kWh)],Outdoor Dew Point (Student 010 > Weather Station) [(deg. F)],Outdoor Temperature (Student 010 > Weather Station) [(deg. F)],Optimal Electric Demand kWh (Student 010 > Electric Meter) [(kWh)]
01/14/2016 21:35:59,95.6248015,36.6079994,37.94,66.57400145
01/15/2016 01:35:59,140.7239774,32.1440017,33.8720011,91.4679902
01/15/2016 05:35:59,230.9919977,29.7320011,37.7959983,138.5799973
01/15/2016 09:35:59,240.4128017,21.9560028,44.5999995,143.5439991
01/15/2016 13:35:59,169.600813,24.8359983,36.6440022,113.9600088
01/15/2016 17:35:59,132.775218,26.96,33.08,79.80200027
01/15/2016 21:35:59,112.7792047,28.04,32,66.82600111
01/16/2016 01:35:59,120.8327974,31.8559983,35.1679989,66.08999986
01/16/2016 05:35:59,135.6823998,33.8720001,35.7440002,77.28599694
01/16/2016 09:35:59,121.4920027,33.98,35.4200005,69.39000267
01/16/2016 13:35:59,97.54400128,32.4320006,35.06,64.02799979
01/16/2016 17:35:59,118.0007997,32,34.6279994,65.59999822
01/16/2016 21:35:59,89.02082633,28.8320011,32.4320006,65.75000031
01/17/2016 01:35:59,66.30399914,24.2240017,30.3800005,65.85199907
01/17/2016 05:35:59,63.8751986,21.92,29.5879994,69.52399862
01/17/2016 09:35:59,64.22320064,19.04,35.5999995,72.86599997
01/17/2016 13:35:59,79.79600008,20.2279989,33.08,70.22600038
01/17/2016 17:35:59,70.43520465,19.94,33.98,73.64399909
01/17/2016 21:35:59,79.38959974,21.3800005,33.08,73.05800004
01/18/2016 01:35:59,96.6511974,21.02,34.4120006,90.92799451
01/18/2016 05:35:59,103.0103997,21.5599995,39.1279989,145.3619983
01/18/2016 09:35:59,92.92639973,23.6479994,44.1679989,145.5819988
01/18/2016 13:35:59,90.56160036,23,39.5960023,114.4260097
01/18/2016 17:35:59,88.83200163,18.6440022,34.2320016,82.98799962
01/18/2016 21:35:59,69.47920134,3.5599995,24.4400005,77.00600102
01/19/2016 01:35:59,92.9999893,0.6440022001,19.4000005,90.64999469
01/19/2016 05:35:59,137.0423998,-3.2440017,19.5799995,138.8099984
01/19/2016 09:35:59,139.1768024,9.3920006,16.4120006,137.5839988
01/19/2016 13:35:59,133.0952048,8.06,12.92,127.4980059
01/19/2016 17:35:59,78.71680234,7.6279994,12.02,87.72400192
01/19/2016 21:35:59,68.04079992,6.08,12.02,71.5440017
01/20/2016 01:35:59,90.84478924,3.8120011,9.7520011,91.93999233
01/20/2016 05:35:59,146.0343984,-2.7759983,8.06,135.7139989
01/20/2016 09:35:59,148.6432012,-3.2079989,15.8359983,140.0519988
01/20/2016 13:35:59,122.858405,-5.08,13.7840012,120.6300068
01/20/2016 17:35:59,83.34960949,-5.98,10.4000005,87.92000075
01/21/2016 00:23:59,89.32319151,-8.3919991,5.6480009,80.23599509
01/21/2016 04:23:59,134.0959994,-6.6280009,3.37999925,129.2419936
01/21/2016 08:23:59,141.2215974,-2.02,19.04,139.0039998
01/21/2016 12:23:59,132.0808027,-4.4319991,18.6080009,131.2820075
01/21/2016 16:23:59,95.39840915,-3.3519991,13.5680009,89.68600347
01/21/2016 20:23:59,70.22640105,-2.02,10.04,80.01800423
01/22/2016 00:23:59,75.22239222,-4,8.96,80.22999487
01/22/2016 04:23:59,133.1799979,-7.06,7.77199835,129.6759919
01/22/2016 08:23:59,140.887195,-5.08,15.98,138.8059993
01/22/2016 12:23:59,134.1360012,-6.6280009,16.26800165,132.6280068
01/22/2016 16:23:59,113.3608047,-4,11.73199835,91.66400378
